YEAR,NATIONAL,DUBLIN,CORK,GALWAY,LIMERICK,WATERFORD,OTHER AREAS
1970,6692,7051,n/a,n/a,n/a,n/a,n/a
1971,7523,7913,6632,6976,6012,6105,6427
1972,8249,8528,7676,8867,6733,6227,7198
1973,9009,9206,7678,9405,7450,6928,8054
1974,10836,10943,9809,13356,10515,9571,10851
1975,13254,13137,12921,14420,13594,12636,13833
1976,15564,15342,15347,17842,15279,13900,15361
1977,18754,19055,18652,21715,19992,17296,18025
1978,24082,25745,22460,26244,23077,21295,22839
1979,29387,32005,29064,30466,30538,27164,27137
1980,34967,37822,34617,33839,34340,32136,32663
1981,40167,44456,35464,39729,41520,34638,37857
1982,44060,48886,38213,45460,40195,41741,42889
1983,44448,48169,39223,45650,41430,42132,43501
1984,45419,48819,41105,45774,42944,44115,43654
1985,46542,49166,42738,49004,44511,43741,45058
1986,48256,50891,43844,49804,47222,47928,46486
1987,48151,50864,45846,48162,46946,46966,45740
1988,52450,57994,49605,52238,53296,47531,47380
1989,58178,68393,54670,57936,54732,50506,51355
1990,65541,80749,61074,68019,62258,53904,55729
1991,66914,78715,64651,66784,64598,53366,58645
1992,69264,79200,65107,75417,60184,52656,62433
1993,69883,75539,68172,74761,66825,61341,65025
1994,72732,81993,71378,77375,68238,69185,66829
1995,77994,86671,76608,87783,73348,69950,71829
1996,87202,97058,85351,93050,83281,79784,82091
1997,102222,122036,96046,109905,91077,91608,94664
1998,125302,160699,112133,118738,104248,107954,116589
1999,148521,193526,141007,138928,121880,132050,136970
2000,169191,221724,166557,163824,145834,145713,154050
2001,182863,243095,174550,171161,152205,155488,166834
2002,198087,256109,184369,187607,168574,167272,179936
2003,224567,291646,211980,223388,197672,195173,203125
2004,249191,322628,237858,242218,210868,220286,228057
2005,276221,350891,265644,274905,226393,246914,254006
2006,305637,405957,305015,286176,275411,271521,276570
2007,322634,416225,325453,300750,288202,292057,296605
2008,305269,370495,314276,292777,276719,288478,282677
2009,242033,260170,252011,236113,260684,227444,231739
2010,228268,251629,244333,219459,224778,224021,218097
2011,230303,290668,241502,229558,216307,205598,216400
2012,220415,265633,235473,219233,212902,179716,207957
2013,228216,300466,240063,218308,206456,154051,207573
2014,246378,333720,242099,218016,208442,177122,214404
2015,281432,377741,255010,241058,232791,213506,Other Areas
