C02451V02968,REGION,C02447V03042,SchoolProgramme,TLIST(A1),Year,STATISTIC,Statistic Label,UNIT,VALUE,NumberOfClasses, NumberOfPupils
-,All Counties,1,All first level school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,18535,18535,
-,All Counties,1,All first level school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,18500,18500,
-,All Counties,1,All first level school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,18461,18461,
-,All Counties,1,All first level school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,18576,18576,
-,All Counties,1,All first level school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,18670,18670,
-,All Counties,1,All first level school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,18979,18979,
-,All Counties,1,All first level school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,19082,19082,
-,All Counties,1,All first level school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,19480,19480,
-,All Counties,1,All first level school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,19766,19766,
-,All Counties,1,All first level school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,19959,19959,
-,All Counties,1,All first level school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,20107,20107,
-,All Counties,1,All first level school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,20381,20381,
-,All Counties,1,All first level school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,20951,20951,
-,All Counties,1,All first level school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,21766,21766,
-,All Counties,1,All first level school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,22462,22462,
-,All Counties,1,All first level school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,22471,22471,
-,All Counties,1,All first level school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,22948,22948,
-,All Counties,1,All first level school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,22249,22249,
-,All Counties,1,All first level school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,22470,22470,
-,All Counties,1,All first level school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,22845,22845,
-,All Counties,1,All first level school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,23211,23211,
-,All Counties,1,All first level school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,23649,23649,
-,All Counties,1,All first level school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,24166,24166,
-,All Counties,1,All first level school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,24566,24566,
-,All Counties,1,All first level school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,25003,25003,
-,All Counties,1,All first level school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,25312,25312,
-,All Counties,1,All first level school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,25963,25963,
-,All Counties,1,All first level school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,26334,26334,
-,All Counties,11,All mainstream national school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,17409,17409,
-,All Counties,11,All mainstream national school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,17293,17293,
-,All Counties,11,All mainstream national school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,17176,17176,
-,All Counties,11,All mainstream national school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,17123,17123,
-,All Counties,11,All mainstream national school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,17042,17042,
-,All Counties,11,All mainstream national school programmes,2000,2000,EDA57C02,Classes in National Schools (Number),Number,17252,17252,
-,All Counties,11,All mainstream national school programmes,2001,2001,EDA57C02,Classes in National Schools (Number),Number,17280,17280,
-,All Counties,11,All mainstream national school programmes,2002,2002,EDA57C02,Classes in National Schools (Number),Number,17576,17576,
-,All Counties,11,All mainstream national school programmes,2003,2003,EDA57C02,Classes in National Schools (Number),Number,17807,17807,
-,All Counties,11,All mainstream national school programmes,2004,2004,EDA57C02,Classes in National Schools (Number),Number,18011,18011,
-,All Counties,11,All mainstream national school programmes,2005,2005,EDA57C02,Classes in National Schools (Number),Number,18133,18133,
-,All Counties,11,All mainstream national school programmes,2006,2006,EDA57C02,Classes in National Schools (Number),Number,18367,18367,
-,All Counties,11,All mainstream national school programmes,2007,2007,EDA57C02,Classes in National Schools (Number),Number,18909,18909,
-,All Counties,11,All mainstream national school programmes,2008,2008,EDA57C02,Classes in National Schools (Number),Number,19665,19665,
-,All Counties,11,All mainstream national school programmes,2009,2009,EDA57C02,Classes in National Schools (Number),Number,20291,20291,
-,All Counties,11,All mainstream national school programmes,2010,2010,EDA57C02,Classes in National Schools (Number),Number,20317,20317,
-,All Counties,11,All mainstream national school programmes,2011,2011,EDA57C02,Classes in National Schools (Number),Number,20604,20604,
-,All Counties,11,All mainstream national school programmes,2012,2012,EDA57C02,Classes in National Schools (Number),Number,20716,20716,
-,All Counties,11,All mainstream national school programmes,2013,2013,EDA57C02,Classes in National Schools (Number),Number,20877,20877,
-,All Counties,11,All mainstream national school programmes,2014,2014,EDA57C02,Classes in National Schools (Number),Number,21147,21147,
-,All Counties,11,All mainstream national school programmes,2015,2015,EDA57C02,Classes in National Schools (Number),Number,21419,21419,
-,All Counties,11,All mainstream national school programmes,2016,2016,EDA57C02,Classes in National Schools (Number),Number,21724,21724,
-,All Counties,11,All mainstream national school programmes,2017,2017,EDA57C02,Classes in National Schools (Number),Number,22152,22152,
-,All Counties,11,All mainstream national school programmes,2018,2018,EDA57C02,Classes in National Schools (Number),Number,22430,22430,
-,All Counties,11,All mainstream national school programmes,2019,2019,EDA57C02,Classes in National Schools (Number),Number,22747,22747,
-,All Counties,11,All mainstream national school programmes,2020,2020,EDA57C02,Classes in National Schools (Number),Number,22970,22970,
-,All Counties,11,All mainstream national school programmes,2021,2021,EDA57C02,Classes in National Schools (Number),Number,23460,23460,
-,All Counties,11,All mainstream national school programmes,2022,2022,EDA57C02,Classes in National Schools (Number),Number,23572,23572,
-,All Counties,121,Pupils with special needs in mainstream national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,367,367,
-,All Counties,121,Pupils with special needs in mainstream national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,413,413,
-,All Counties,121,Pupils with special needs in mainstream national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,476,476,
-,All Counties,121,Pupils with special needs in mainstream national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,624,624,
-,All Counties,121,Pupils with special needs in mainstream national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,754,754,
-,All Counties,121,Pupils with special needs in mainstream national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,824,824,
-,All Counties,121,Pupils with special needs in mainstream national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,884,884,
-,All Counties,121,Pupils with special needs in mainstream national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,960,960,
-,All Counties,121,Pupils with special needs in mainstream national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,1001,1001,
-,All Counties,121,Pupils with special needs in mainstream national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,1002,1002,
-,All Counties,121,Pupils with special needs in mainstream national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,1017,1017,
-,All Counties,121,Pupils with special needs in mainstream national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,1053,1053,
-,All Counties,121,Pupils with special needs in mainstream national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,1060,1060,
-,All Counties,121,Pupils with special needs in mainstream national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,1089,1089,
-,All Counties,121,Pupils with special needs in mainstream national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,1131,1131,
-,All Counties,121,Pupils with special needs in mainstream national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,1095,1095,
-,All Counties,121,Pupils with special needs in mainstream national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,1264,1264,
-,All Counties,121,Pupils with special needs in mainstream national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,464,464,
-,All Counties,121,Pupils with special needs in mainstream national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,510,510,
-,All Counties,121,Pupils with special needs in mainstream national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,585,585,
-,All Counties,121,Pupils with special needs in mainstream national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,648,648,
-,All Counties,121,Pupils with special needs in mainstream national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,760,760,
-,All Counties,121,Pupils with special needs in mainstream national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,834,834,
-,All Counties,121,Pupils with special needs in mainstream national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,948,948,
-,All Counties,121,Pupils with special needs in mainstream national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,1053,1053,
-,All Counties,121,Pupils with special needs in mainstream national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,1169,1169,
-,All Counties,121,Pupils with special needs in mainstream national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,1303,1303,
-,All Counties,121,Pupils with special needs in mainstream national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,1526,1526,
-,All Counties,122,Pupils in special national schools,1995,1995,EDA57C02,Classes in National Schools (Number),Number,759,759,
-,All Counties,122,Pupils in special national schools,1996,1996,EDA57C02,Classes in National Schools (Number),Number,794,794,
-,All Counties,122,Pupils in special national schools,1997,1997,EDA57C02,Classes in National Schools (Number),Number,809,809,
-,All Counties,122,Pupils in special national schools,1998,1998,EDA57C02,Classes in National Schools (Number),Number,829,829,
-,All Counties,122,Pupils in special national schools,1999,1999,EDA57C02,Classes in National Schools (Number),Number,874,874,
-,All Counties,122,Pupils in special national schools,2000,2000,EDA57C02,Classes in National Schools (Number),Number,903,903,
-,All Counties,122,Pupils in special national schools,2001,2001,EDA57C02,Classes in National Schools (Number),Number,918,918,
-,All Counties,122,Pupils in special national schools,2002,2002,EDA57C02,Classes in National Schools (Number),Number,944,944,
-,All Counties,122,Pupils in special national schools,2003,2003,EDA57C02,Classes in National Schools (Number),Number,958,958,
-,All Counties,122,Pupils in special national schools,2004,2004,EDA57C02,Classes in National Schools (Number),Number,946,946,
-,All Counties,122,Pupils in special national schools,2005,2005,EDA57C02,Classes in National Schools (Number),Number,957,957,
-,All Counties,122,Pupils in special national schools,2006,2006,EDA57C02,Classes in National Schools (Number),Number,961,961,
-,All Counties,122,Pupils in special national schools,2007,2007,EDA57C02,Classes in National Schools (Number),Number,982,982,
-,All Counties,122,Pupils in special national schools,2008,2008,EDA57C02,Classes in National Schools (Number),Number,1012,1012,
-,All Counties,122,Pupils in special national schools,2009,2009,EDA57C02,Classes in National Schools (Number),Number,1040,1040,
-,All Counties,122,Pupils in special national schools,2010,2010,EDA57C02,Classes in National Schools (Number),Number,1059,1059,
-,All Counties,122,Pupils in special national schools,2011,2011,EDA57C02,Classes in National Schools (Number),Number,1080,1080,
-,All Counties,122,Pupils in special national schools,2012,2012,EDA57C02,Classes in National Schools (Number),Number,1069,1069,
-,All Counties,122,Pupils in special national schools,2013,2013,EDA57C02,Classes in National Schools (Number),Number,1083,1083,
-,All Counties,122,Pupils in special national schools,2014,2014,EDA57C02,Classes in National Schools (Number),Number,1113,1113,
-,All Counties,122,Pupils in special national schools,2015,2015,EDA57C02,Classes in National Schools (Number),Number,1144,1144,
-,All Counties,122,Pupils in special national schools,2016,2016,EDA57C02,Classes in National Schools (Number),Number,1165,1165,
-,All Counties,122,Pupils in special national schools,2017,2017,EDA57C02,Classes in National Schools (Number),Number,1179,1179,
-,All Counties,122,Pupils in special national schools,2018,2018,EDA57C02,Classes in National Schools (Number),Number,1188,1188,
-,All Counties,122,Pupils in special national schools,2019,2019,EDA57C02,Classes in National Schools (Number),Number,1203,1203,
-,All Counties,122,Pupils in special national schools,2020,2020,EDA57C02,Classes in National Schools (Number),Number,1173,1173,
-,All Counties,122,Pupils in special national schools,2021,2021,EDA57C02,Classes in National Schools (Number),Number,1200,1200,
-,All Counties,122,Pupils in special national schools,2022,2022,EDA57C02,Classes in National Schools (Number),Number,1236,1236,
1,Carlow,1,All first level school programmes,1995,1995,EDA57C02,Classes in National Schools (Number),Number,237,237,
1,Carlow,1,All first level school programmes,1996,1996,EDA57C02,Classes in National Schools (Number),Number,236,236,
1,Carlow,1,All first level school programmes,1997,1997,EDA57C02,Classes in National Schools (Number),Number,232,232,
1,Carlow,1,All first level school programmes,1998,1998,EDA57C02,Classes in National Schools (Number),Number,229,229,
1,Carlow,1,All first level school programmes,1999,1999,EDA57C02,Classes in National Schools (Number),Number,231,231,
